2025-05-24 22:27:17 - ([6, 7, 8, 13, 18], [3, 8])
2025-05-24 22:27:17 - ([10, 13, 18, 31, 32], [3, 8])
2025-05-24 22:27:17 - ([13, 18, 19, 29, 35], [3, 8])
2025-05-24 22:27:17 - ([2, 7, 13, 14, 18], [3, 8])
2025-05-24 22:27:17 - ([3, 12, 13, 18, 23], [3, 8])
2025-05-24 22:27:17 - ([2, 5, 13, 18, 19], [3, 8])
2025-05-24 22:27:17 - ([1, 13, 18, 22, 25], [3, 8])
2025-05-24 22:27:17 - ([8, 10, 13, 18, 28], [3, 8])
2025-05-24 22:27:17 - ([5, 13, 18, 21, 34], [3, 8])
2025-05-24 22:27:17 - ([2, 8, 13, 18, 28], [3, 8])
2025-05-24 22:29:08 - ([15, 20, 25, 30, 35], [3, 10])
2025-05-24 22:29:08 - ([15, 20, 25, 30, 35], [3, 10])
2025-05-24 22:29:08 - ([15, 20, 25, 30, 35], [3, 10])
2025-05-24 22:29:08 - ([15, 20, 25, 30, 35], [3, 10])
2025-05-24 22:29:08 - ([15, 20, 25, 30, 35], [3, 10])
